Ctgy,AUN,School District,County,2018-19 Average Daily Membership,2018-19 Weighted Average Daily Membership,"Instruction
per ADM","Support Services
per ADM","Non-Instructional
per ADM","Current Exp
per ADM","Facilites, Acquistion & Construction
per ADM","Other Financing Uses
per ADM","Total Exp
per ADM","AIE
per WADM"
1,119350303,Abington Heights SD,Lackawanna,"3,452.33","3,940.75","$8,789.52 ","$3,924.84 ",$284.49 ,"$12,998.85 ",$0.00 ,"$1,063.83 ","$14,062.68 ",8720.18
1,123460302,Abington SD,Montgomery,"8,467.80","9,851.83","$10,818.56 ","$6,003.34 ",$190.75 ,"$17,012.65 ",$10.34 ,"$1,192.12 ","$18,215.11 ",11213.22
1,101260303,Albert Gallatin Area SD,Fayette,"3,407.06","4,009.87","$9,462.41 ","$4,943.45 ",$248.07 ,"$14,653.92 ",$4.34 ,"$1,209.62 ","$15,867.88 ",8123.69
1,127040503,Aliquippa SD,Beaver,"1,216.02","1,393.34","$11,449.09 ","$5,769.01 ",$355.13 ,"$17,573.23 ",$0.00 ,"$23,139.21 ","$40,712.43 ",10518.01
1,103020603,Allegheny Valley SD,Allegheny,912.563,"1,065.37","$12,868.74 ","$8,414.19 ",$719.42 ,"$22,002.35 ",$0.00 ,"$4,204.31 ","$26,206.66 ",14295.32
1,106160303,Allegheny-Clarion Valley SD,Clarion,688.815,804.862,"$14,116.06 ","$7,219.22 ",$446.43 ,"$21,781.71 ","$2,529.56 ","$1,126.91 ","$25,438.18 ",13782.46
1,121390302,Allentown City SD,Lehigh,"21,179.37","24,615.11","$11,011.75 ","$3,402.34 ",$197.09 ,"$14,611.19 ",$9.62 ,$981.39 ,"$15,602.20 ",8354.6
1,108070502,Altoona Area SD,Blair,"7,728.02","9,013.14","$9,149.57 ","$4,331.64 ",$277.44 ,"$13,758.66 ",$22.33 ,"$1,418.55 ","$15,199.54 ",7809.78
1,127040703,Ambridge Area SD,Beaver,"2,797.97","3,272.16","$10,639.38 ","$4,938.08 ",$349.48 ,"$15,926.94 ",$133.10 ,"$2,100.05 ","$18,160.10 ",9723.91
1,113380303,Annville-Cleona SD,Lebanon,"1,479.32","1,699.72","$8,787.00 ","$5,281.22 ",$510.55 ,"$14,578.78 ",$0.00 ,"$2,135.48 ","$16,714.26 ",9560.31
1,114060503,Antietam SD,Berks,"1,162.73","1,348.83","$10,182.08 ","$4,975.49 ",$345.46 ,"$15,503.03 ",$0.00 ,"$1,535.00 ","$17,038.03 ",10113.5
1,128030603,Apollo-Ridge SD,Armstrong,"1,234.75","1,460.41","$11,819.13 ","$6,495.57 ",$385.36 ,"$18,700.06 ",$142.02 ,"$1,401.18 ","$20,243.26 ",10633.03
1,128030852,Armstrong SD,Armstrong,"5,437.26","6,367.78","$11,099.85 ","$4,930.90 ",$242.28 ,"$16,273.03 ",$96.70 ,"$1,907.21 ","$18,276.94 ",8848.29
